"Story","Title","Result","Date","Stability","Duration (s)"
"Customer adding bag to cart","User buying the back pack bag from application","SUCCESS","2023-10-31T20:38:16.561+05:30[Asia/Calcutta]","0.0","6.6"
"Customer login","Customer Login into application","SUCCESS","2023-10-31T20:38:22.705+05:30[Asia/Calcutta]","0.0","3.58"
