"Story","Title","Result","Date","Stability","Duration (s)"
"Login test case","Login with empty creds","SUCCESS","2023-10-25T19:45:08.739+05:30[Asia/Calcutta]","0.0","8.81"
"Login test case","Login with valid username and valid password","SUCCESS","2023-10-25T19:45:18.528+05:30[Asia/Calcutta]","0.0","7.41"
