"Story","Title","Result","Date","Stability","Duration (s)"
"Create storybook","Create SB","SUCCESS","2023-10-20T15:09:53.148+05:30[Asia/Calcutta]","0.0","52.19"
"Inspify login page test","Verify login","ERROR","2023-10-20T15:10:48.005+05:30[Asia/Calcutta]","0.0","42.87"
"Inspify login page test","Logout from inspify","SUCCESS","2023-10-20T15:11:31.869+05:30[Asia/Calcutta]","0.0","24.19"
"Session creation test","Operations on sessions","SUCCESS","2023-10-20T15:11:57.052+05:30[Asia/Calcutta]","0.0","28.52"
"Start live session test","Operations on sessions","SUCCESS","2023-10-20T15:13:01.594+05:30[Asia/Calcutta]","0.0","34.06"
