"Story","Title","Result","Date","Stability","Duration (s)"
"Inspify login page test","Login to inspify","SUCCESS","2023-10-09T15:16:41.859+05:30[Asia/Calcutta]","0.0","20.67"
"Session creation test","Operations on sessions","SUCCESS","2023-10-09T15:16:42.065+05:30[Asia/Calcutta]","0.0","63.37"
"Inspify login page test","Logout from inspify","SUCCESS","2023-10-09T15:17:04.742+05:30[Asia/Calcutta]","0.0","37.41"
