"Story","Title","Result","Date","Stability","Duration (s)"
"Screen play","Handling single input field","SUCCESS","2023-10-20T15:18:01.459+05:30[Asia/Calcutta]","0.0","8.53"
"Screen play POM","Handle input forms","SUCCESS","2023-10-20T15:18:12.493+05:30[Asia/Calcutta]","0.0","6.61"
"Screen play POM","Handle two input forms","SUCCESS","2023-10-20T15:18:19.975+05:30[Asia/Calcutta]","0.0","6.72"
